Station,Replicate,ID,layer,Pygospio elegans,Astarte eliptica,Scoloplos armiger,Pontoporeia femorata,Diastylis,Nematoda,Macoma balthica,Aricidea catherinae,Harmothoe sarsi ,Unidentified (g),Nereis diveriscolor,Terebellides stroemi,Ostracoda,Streblospio benedicti,Jaera,Haliqruptus spinulosus
1,2,2 cm,1,0.0051,0.9168,0.0084,,,,,,,,,,,,,
1,5,2 cm,1,0.0041,0.4285,,0.003,0.0016,,0.0014,,,,,,,,,
2,1,2 cm,1,0.00189,1.6211,,,,0.0014,0.1421,0.0011,0.0482,,,,,,,
3,2,2 cm,1,,,,,,0.0009,0.0008,,,,0.0114,0.016,,,,
7,2,2 cm,1,,,,,,0.0104,,,,,,,,,,
11,1,2 cm,1,,,,,,,,,,,,,,,,
11,2,2 cm,1,,,,,,0.0063,,,,,,,,,,
12,1,2 cm,1,0.002,,,,,0.0022,,,0.0074,,,,,0.0191,,
12,2,2 cm,1,,0.4043,,,,,,,,,,,,,,
13,1,2 cm,1,,,,,,0.001,,,,,0.0025,,,,,
13,2,2 cm,1,,,,,,,,,,,0.004,,,0.002,,
13,3,2 cm,1,0.0013,,,,,,,,,,,,,,,
14,2,2 cm,1,,,,,,,0.1038,,,,,,,,,
15,1,2 cm,1,0.0174,,0.0141,,,,,,,,0.0073,,,0.0223,,
15,2,2 cm,1,,,,,,,0.1488,,,,,,,,,
16,2,2 cm,1,,,0.003,,,0.0015,,,,,,,,0.0032,,
17,2,2 cm,1,,,0.01,,,,,,,,,,,0.0406,,
18,1,2 cm,1,,,,,,0.0014,0.0288,,,,,,,,,
19,1,2 cm,1,,,,,,0.0027,,0.0064,,,,,,,,NA
19,2,2 cm,1,0.001,,0.0033,,,0.0063,,,,,,,,,,
3,1,2cm,1,,,,,,0.0028,0.0021,,,,,,,,,
1,2,4 cm,3,0.0013,,,,,,,,,,,,,,,
1,5,4 cm,3,,,,0.0133,,,,0.0019,,,,,,,,
2,1,4 cm,3,0.0044,,0.01,,,,,0.0017,,,,,,,,
2,3,4 cm,3,,,,,,,,,,,,,,,,
10,2,4 cm,3,0.001,,,,,,,,,,,,,,,
12,2,4 cm,3,0.0099,,,,,,,,,,,,,,,
13,2,4 cm,3,,,,,,,0.3101,,,,,,0.0037,,,
13,3,4 cm,3,,,,,,0.0013,,,,,,,,0.0085,,
15,2,4 cm,3,0.0112,,,,,,,,0.0206,,,,,,,
17,2,4 cm,3,0.0112,,,,,,,,,,,,,,,
19,2,4 cm,3,0.003,,,,,,,0.0028,,,,,,,,
2,1,8 cm,6,,,,,,,,0.02,,,,,,,,
6,1,8 cm,6,,,,,,,,,,,,,,,,
11,2,8 cm,6,,,,,,,,,,,0.0111,,,,,
12,1,8 cm,6,,,,,,,,0.0014,,,,,,,,
12,2,8 cm,6,0.0016,,,,,,,,,,,,,,,
13,2,8 cm,6,0.0044,,,,,,,,,,,,,0.0048,,
13,3,8 cm,6,,,,,,,,,,,,,0.0014,,,
19,1,8 cm,6,,,,,,,0.0023,0.0095,,,,,,,,
2,3,tot,8,,,,,,0.0013,,,,,,,,,,
3,1,tot,8,,,,,,,,,,0.0006,,,,,,
3,2,tot,8,,,,,,0.0013,,,,,,,,,,
16,2,tot,8,,,,,,,,,,,,,,,NA,
