Station,SAR13,SAR14,SAR15,SAR16,SAR17,SAR18
1,3.026548901,3.870679404,1.252414568,1.584544608,1.078738273,1.840132827
2,3.484734346,5.383434894,1.813963712,3.666986356,2.965962668,3.236515866
3,6.927196762,6.93813731,2.477576363,3.969459952,3.308745182,2.600844536
4,1.251573569,0.567699319,0.079325371,0.232700569,0.142327607,0.125844362
5,1.029194285,0.833082348,0.107424493,0.421920104,0.161860607,0.058345513
6,0.303408284,0,0,0,0.223068938,0
7,0,0.041531307,0,0.088213187,0.218814159,0
8,0,0.31106931,0,0,0.244164153,0
9,9.851836522,5.370193617,4.538656343,3.472858164,3.973407404,1.116246519
10,5.184600466,2.483793245,0.683728201,2.039579612,1.329074424,0.688251179
11,1.047716205,1.089404197,0.20922123,0.642987662,0.702858221,0.396965335
12,2.727265531,3.773128678,1.217436534,1.488673515,0.887171164,1.687092526
13,0.875384227,1.115987255,0.38563918,0.528628361,0.141391707,0.088076776
14,0.090146372,0.393789249,0.12091014,0.165268413,0,0.035587245
15,0,0.041880651,0.041814812,0.074682883,0.038329128,0.007665064
16,2.321097692,1.891145776,0.565222932,0.816090513,0.597014803,0.224486789
17,1.46084795,1.414455057,0.421702353,0.311498456,0.449803533,0.271350145
18,7.371853166,4.510206347,1.51981644,2.332876536,1.598881185,0.589811471
19,9.381382385,8.861776997,4.038327243,7.448385516,5.967612933,5.32978428
